timestamp,batch_id,error_json,payload
2025-06-19 23:58:10,A-fd51cf79-5f20-4039-8783-d1c4737c28f3,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E5X0PWQW0POJOPJzpnoelc56405Z06ad5ZXPXYNOGEzokda92RMJA&CurrencyCode=USD&CustomerEmail=009602e83550c5d205cb08d5652fbd4c7e2ea495&CustomerStatus=New&EventDate=2025-06-19T23%3A55%3A53.000Z&IntegrationSource=Impact_BigCommerce_Plugin&IpAddress=63.196.203.55&OrderId=2206627&ItemSku1=VAP-GAI-BAR-0300&ItemQuantity1=1&ItemCategory1=Koi%20Balance%20Bar%20CBD%20Vape&ItemSubtotal1=35.99
2025-06-19 23:57:11,A-f418990a-4042-4c3b-98ad-90c76a55ba41,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E5X0PWQW0POJOPJzpnoelc56405Z06ad5ZXPXYNOGEzokda92RMJA&CurrencyCode=USD&CustomerEmail=009602e83550c5d205cb08d5652fbd4c7e2ea495&CustomerStatus=New&EventDate=2025-06-19T23%3A55%3A53.000Z&IntegrationSource=Impact_BigCommerce_Plugin&IpAddress=63.196.203.55&OrderId=2206627&ItemSku1=VAP-GAI-BAR-0300&ItemQuantity1=1&ItemCategory1=Koi%20Balance%20Bar%20CBD%20Vape&ItemSubtotal1=35.99
2025-06-19 23:53:10,A-f4a43a3d-1c76-46a0-895d-479004e39823,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E87b62Z5VMPVLMHzDFGwDukljfkeflkcjoqgbc453XPMKAxumc96X&CurrencyCode=USD&CustomerEmail=e3065796c373aa5848b0ca8b66abbbca1522372e&CustomerId=187059&CustomerStatus=New&EventDate=2025-06-19T23%3A51%3A21.000Z&IntegrationSource=Impact_BigCommerce_Plugin&OrderId=2206625&OrderPromoCode=GOODFEELS15&ItemSku1=FLW-ORG-003-THCA&ItemQuantity1=1&ItemCategory1=Orange%20Gelato%20Strain%20%28Sativa%29&ItemSubtotal1=33.99&ItemSku2=NCOMP-SAMP&ItemQuantity2=1&ItemCategory2=Welcome%20Pack&ItemSubtotal2=0
2025-06-19 23:46:11,A-2393411d-5ba8-4983-99fc-016af75b7064,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7Ef9d6XSMUOW18960423S0QHIFBGABGMHyAuyuvklc60UJGCzrhc-2&CurrencyCode=USD&CustomerEmail=5d5174c2c4ca2f2a1aba0b0b2e7c26d7552a8cff&CustomerId=180192&CustomerStatus=New&EventDate=2025-06-19T23%3A44%3A58.000Z&IntegrationSource=Impact_BigCommerce_Plugin&OrderId=2206623&ItemSku1=GUM-BOR-020-2500&ItemQuantity1=1&ItemCategory1=Koi%20Dragon%20Blend%20Gummies&ItemSubtotal1=79.99
2025-06-19 23:43:13,A-bca017d5-bb37-47d4-820b-851fe690bac4,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E5X0PWQW0POJOPJzpnoelc563Z4YZ1QXNJDGwxmnh%7E4VOJFCvkfc5&CurrencyCode=USD&CustomerEmail=77c00ae551c5350a0114672af7f20c8ef2762c38&CustomerId=161821&CustomerStatus=Existing&EventDate=2025-06-19T23%3A42%3A11.000Z&IntegrationSource=Impact_BigCommerce_Plugin&OrderId=2206621&ItemSku1=GUM-BLR-060-1500D8&ItemQuantity1=1&ItemCategory1=Koi%20Delta%208%20THC%20Gummies&ItemSubtotal1=71.99
2025-06-19 23:40:10,A-af5284e3-92e6-4a0b-9efc-f805aa843861,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E7%7E2XZ21W2X4Z0ZYVUVKRIzAwrxqrwAGMQXROPFGApmcb51YQGByo&CurrencyCode=USD&CustomerEmail=da0336e4d5b79e9bf14d7037ae52d16bacc3543c&CustomerStatus=New&EventDate=2025-06-19T23%3A38%3A04.000Z&IntegrationSource=Impact_BigCommerce_Plugin&OrderId=2206620&OrderPromoCode=BF5D0053KC&ItemSku1=GUM-BLR-020-2500-1&ItemQuantity1=1&ItemCategory1=Koi%20Dragon%20Blend%20Gummies%20-%2020%20count&ItemSubtotal1=55.99&ItemSku2=GUM-BLR-020-2500-1&ItemQuantity2=1&ItemCategory2=Koi%20Dragon%20Blend%20Gummies%20-%2020%20count&ItemSubtotal2=56
2025-06-19 23:36:11,A-de9653e8-d558-468f-94fb-1961e03e96ab,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E2Y5a2VMIEADIJLDyBCJPGxyAynvwngnsmibef78ZUNGFvqng830Q&CurrencyCode=USD&CustomerEmail=a9b8a1496950c3153e23f26dd6cc1392a594d798&CustomerId=148036&CustomerStatus=Existing&EventDate=2025-06-19T23%3A34%3A44.000Z&IntegrationSource=Impact_BigCommerce_Plugin&OrderId=2206619&OrderPromoCode=VACAY&ItemSku1=GUM-BLR-020-2500&ItemQuantity1=1&ItemCategory1=Koi%20Dragon%20Blend%20Gummies&ItemSubtotal1=79.99&ItemSku2=TIN-STR-030-0500&ItemQuantity2=1&ItemCategory2=Koi%20Naturals%20CBD%20Oil%20Tincture&ItemSubtotal2=44.99&ItemSku3=GUM-BLR-020-2500&ItemQuantity3=1&ItemCategory3=Koi%20Dragon%20Blend%20Gummies&ItemSubtotal3=0&ItemSku4=TIN-STR-030-0500&ItemQuantity4=1&ItemCategory4=Koi%20Naturals%20CBD%20Oil%20Tincture&ItemSubtotal4=0
2025-06-19 23:35:12,A-0aae4c3b-4bcc-42c0-9549-a8d7be91abcd,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7Ef-94%7E8bhnfcghkrhklbi-23XMRJKGzDsqjb%7E-12XUOFBqmjc4ZWM&CurrencyCode=USD&CustomerEmail=20bd2ab37dc5b625ad03387c00119b027e57249d&CustomerId=180957&CustomerStatus=Existing&EventDate=2025-06-19T14%3A45%3A42.000Z&IntegrationSource=Impact_BigCommerce_Plugin&IpAddress=141.153.160.40&OrderId=2206305&OrderPromoCode=RZ5YM5YC&ItemSku1=GUM-BLK-020-2500&ItemQuantity1=2&ItemCategory1=Koi%20Dragon%20Blend%20Gummies&ItemSubtotal1=69.98
2025-06-19 23:34:11,A-64b8452f-3230-45fa-a267-8acb84e6dad2,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E0WUSXPU1UQULMKRWUVKRIzAvukefdgj-%7E1USUJKDyrokjeb6WQNE&CurrencyCode=USD&CustomerEmail=edf3dd8c6b01f7c279cd0a6b6f21406bc1c16fdf&CustomerId=32254&CustomerStatus=Existing&EventDate=2025-06-19T23%3A32%3A18.000Z&IntegrationSource=Impact_BigCommerce_Plugin&IpAddress=38.248.93.3&OrderId=2206617&OrderPromoCode=vacay&ItemSku1=GUM-BOR-020-2500&ItemQuantity1=1&ItemCategory1=Koi%20Dragon%20Blend%20Gummies&ItemSubtotal1=77.59&ItemSku2=FLW-BLG-006-THCA&ItemQuantity2=1&ItemCategory2=THCA%20Mini%20Pre-Rolls%20-%20Kief-Infused&ItemSubtotal2=49.99&ItemSku3=FLW-BLG-006-THCA&ItemQuantity3=1&ItemCategory3=THCA%20Mini%20Pre-Rolls%20-%20Kief-Infused&ItemSubtotal3=0&ItemSku4=GUM-BOR-020-2500&ItemQuantity4=1&ItemCategory4=Koi%20Dragon%20Blend%20Gummies&ItemSubtotal4=0
2025-06-19 23:33:12,A-eabb3652-93e6-4f74-96bd-0fb3949d7f43,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E8-14Z642V2734-gfhi%7Ef8Z0VQWPQVSNJPOUWXMNMJICxwqng830Q&CurrencyCode=USD&CustomerEmail=f5e8c81f4d7660f33bf09e75ae01a5daba48d41a&CustomerId=28961&CustomerStatus=Existing&EventDate=2025-06-19T23%3A32%3A26.000Z&IntegrationSource=Impact_BigCommerce_Plugin&IpAddress=38.48.36.236&OrderId=2206618&OrderPromoCode=M5USSH9X&ItemSku1=GUM-STR-060-1500D8&ItemQuantity1=1&ItemCategory1=Koi%20Delta%208%20THC%20Gummies&ItemSubtotal1=45.49
